2023-09-23 09:50:41,867 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/120]} | ret=SUCCESS |  
2023-09-23 09:50:41,938 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/122]} | ret=SUCCESS |  
2023-09-23 09:50:42,127 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/121]} | ret=SUCCESS |  
2023-09-23 09:50:42,208 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/119]} | ret=SUCCESS |  
2023-09-23 09:50:42,440 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/123]} | ret=SUCCESS |  
2023-09-23 09:50:42,479 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/124]} | ret=SUCCESS |  
2023-09-23 09:50:42,671 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/117]} | ret=SUCCESS |  
2023-09-23 09:50:42,696 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/127]} | ret=SUCCESS |  
2023-09-23 09:50:42,923 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/126]} | ret=SUCCESS |  
2023-09-23 09:50:43,007 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/125]} | ret=SUCCESS |  
2023-09-23 09:50:43,020 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/129]} | ret=SUCCESS |  
2023-09-23 09:50:43,067 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/128]} | ret=SUCCESS |  
2023-09-23 09:50:43,110 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/131]} | ret=SUCCESS |  
